"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8109","LoginWithWrongPasswordRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","15438","CreatePartnerWithVeryShortPhoneNumberRejected","avtoikonom_regression_suite","2026-08-22","failed","2026-08-22","","partners\CreatePartnerValidation.spec.ts","",""
"","27434","CreatePartnerWithDuplicateNameRejected","avtoikonom_regression_suite","2026-08-22","failed","2026-08-22","","partners\CreatePartnerValidation.spec.ts","",""
"","18404","LoginWithMissingEmailRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","20258","authenticate","setup","2026-08-22","passed","2026-08-22","","setup\auth.setup.ts","",""
"","31263","LoginWithValidCredentialsSucceeds","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","19212","CreatePartnerWithWhitespaceOnlyNameRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","partners\CreatePartnerValidation.spec.ts","",""
"","23562","CreatePartnerWithNonNumericPhoneInputRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","partners\CreatePartnerValidation.spec.ts","",""
"","34909","CreatePartnerWithRequiredFieldsPopulatedAndUpdate","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","partners\CreatePartnerAndUpdate.spec.ts","",""
"","9958","LoginWithInvalidEmailFormatRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","26211","LoginWithNonExistentEmailRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","8204","LoginWithWhitespaceOnlyCredentialsRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","18849","LoginWithMissingPasswordRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","24897","CreatePartnerWithRequiredFieldsPopulated","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","partners\CreatePartner.spec.ts","",""
"","12422","LoginWithEmptyEmailAndPasswordRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","auth\LoginValidation.spec.ts","",""
"","11200","CreatePartnerWithMissingRequiredFieldsRejected","avtoikonom_regression_suite","2026-08-22","passed","2026-08-22","","partners\CreatePartnerValidation.spec.ts","",""
